HorseId,RaceId,FinishPosition,OriginalPosition,PostPosition,Track,RaceNumber,Equipment,Weight,WinDivision,PlaceDivision,Comment,IsDisqualified,JockeyId,TrainerId,OwnerId,GroomId,ClaimantId,ClaimPrice,ClaimantTrainerId,PreviousRating,Rating,Position1,LenCall1,Position2,LenCall2,Position3,LenCall3,Position4,LenCall4,Lengths,Odds
20151545,20190101-1,1.0,1.0,6,CP,1,L,51.0,0,0,,0,33072,3100,133621,34088,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,5.3, 4/1
20151823,20190101-1,2.0,2.0,1,CP,1,L,54.0,0,0,,0,5225,3611,9120,960,,0.0,,0,5,0,0.0,0,0.0,0,0.0,0,0.0,5.3, 2/1
20141552,20190101-1,3.0,3.0,3,CP,1,TLV,52.0,0,0,,0,5247,3611,9261,375,,0.0,,0,8,0,0.0,0,0.0,0,0.0,0,0.0,7.5,15/1
20151045,20190101-1,4.0,4.0,2,CP,1,&L,49.5,0,0,,0,33657,72690,33504,1211,,0.0,,0,7,0,0.0,0,0.0,0,0.0,0,0.0,8.8,61/1
20150013,20190101-1,5.0,5.0,5,CP,1,BTL,55.0,0,0,,0,31827,3649,5695,1182,,0.0,,0,1,0,0.0,0,0.0,0,0.0,0,0.0,10.5,13/1
20151383,20190101-1,6.0,6.0,4,CP,1,IL,51.0,0,0,,0,33357,37,20514,33192,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,11.8,*1/5
20140944,20190101-1,7.0,7.0,7,CP,1,L,47.0,0,0,,0,33645,3279,133855,1040,,0.0,,0,2,0,0.0,0,0.0,0,0.0,0,0.0,15.8,99/1
20160379,20190101-2,1.0,1.0,8,CP,2,L,56.0,0,0,,0,3570,3229,34052,33787,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.5,*4/5
20161210,20190101-2,2.0,2.0,9,CP,2,T&L,56.0,0,0,,0,2748,15695,33862,1120,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.5, 5/1
20160788,20190101-2,3.0,3.0,6,CP,2,L,53.0,0,0,,0,32931,3536,134295,32852,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2.5, 9/2
20161816,20190101-2,4.0,4.0,2,CP,2,TLV,56.0,0,0,,0,33110,3611,134394,375,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,5.0, 9/5
20160480,20190101-2,5.0,5.0,7,CP,2,L,53.0,0,0,,0,5225,3263,34104,249,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,9.3,10/1
20160935,20190101-2,6.0,6.0,10,CP,2,TLV,55.0,0,0,,0,5217,15709,29247,732,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,17.3,11/1
20162464,20190101-2,7.0,7.0,3,CP,2,,52.0,0,0,,0,2710,1104,12662,1077,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,20.3,84/1
20161361,20190101-2,8.0,8.0,11,CP,2,,51.0,0,0,,0,33523,2839,16272,2034,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,22.3,99/1
20160697,20190101-2,9.0,9.0,4,CP,2,LV,52.0,0,0,,0,33096,72718,21895,575,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,23.3,78/1
20161432,20190101-2,10.0,10.0,1,CP,2,L,51.0,0,0,,0,33145,72699,9120,32928,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,29.8,99/1
20162580,20190101-2,11.0,11.0,5,CP,2,T&LH,49.5,0,0,,0,33985,72720,34052,475,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,29.9,99/1
20152668,20190101-3,1.0,1.0,5,CP,3,BTL,52.0,0,0,,0,5290,3611,134197,217,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2.3,*3/2
20152815,20190101-3,2.0,2.0,3,CP,3,TLV,50.0,0,0,,0,33984,3611,133641,375,,0.0,,0,15,0,0.0,0,0.0,0,0.0,0,0.0,2.3, 2/1
20152875,20190101-3,3.0,3.0,6,CP,3,L,52.0,0,0,,0,2710,3279,133855,1040,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,5.5,20/1
20151338,20190101-3,4.0,4.0,8,CP,3,BL,54.0,0,0,,0,5209,15695,134000,1012,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,6.3, 4/1
20152259,20190101-3,5.0,5.0,7,CP,3,L,52.0,0,0,,0,33072,1104,16465,1077,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,6.5, 6/1
20153307,20190101-3,6.0,6.0,2,CP,3,TL,50.0,0,0,,0,3536,12233,34212,1925,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,6.7,44/1
20151681,20190101-3,7.0,7.0,1,CP,3,L,50.0,0,0,,0,33657,3229,33470,460,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,8.7, 2/1
20152173,20190101-3,8.0,8.0,4,CP,3,TCL,50.5,0,0,,0,33484,12004,33765,192,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,13.2,83/1
20153423,20190101-4,1.0,1.0,2,CP,4,BL,55.0,0,0,,0,5217,1035,15294,774,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,5.0,*1/1
20152168,20190101-4,2.0,2.0,1,CP,4,&L,51.0,0,0,,0,33523,2839,9186,2034,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,5.0,37/1
20150886,20190101-4,3.0,3.0,6,CP,4,L,50.0,0,0,,0,33985,3310,33171,125,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,5.5,22/1
20151838,20190101-4,4.0,4.0,5,CP,4,L,52.0,0,0,,0,32905,2691,29225,671,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,10.0, 6/1
20152002,20190101-4,5.0,5.0,7,CP,4,T&L,52.0,0,0,,0,33005,12004,33864,16800,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,11.3, 7/1
20152542,20190101-4,6.0,6.0,4,CP,4,TL,50.0,0,0,,0,33657,2889,34050,762,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,11.5, 2/1
20152946,20190101-4,7.0,7.0,8,CP,4,L,50.0,0,0,,0,33072,2839,9186,263,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,21.0,29/1
20152986,20190101-4,8.0,8.0,3,CP,4,T&L,52.5,0,0,,0,33074,72700,33643,158,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,40.0, 2/1
20122275,20190101-5,,,8,CP,5,BL,52.0,0,0,LAME,0,33072,3649,32910,1259,,100000.0,,0,14,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20133078,20190101-5,,,1,CP,5,T&L,54.0,0,0,LAME,0,3536,3489,14842,855,,120000.0,,0,15,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20112313,20190101-5,1.0,1.0,7,CP,5,TLV,51.0,0,0,,0,33598,3382,134151,532,,120000.0,,0,4,0,0.0,0,0.0,0,0.0,0,0.0,0.2, 9/5
20100240,20190101-5,2.0,2.0,9,CP,5,LV,52.0,0,0,,0,33074,33593,33313,987,13402.0,120000.0,2760.0,0,6,0,0.0,0,0.0,0,0.0,0,0.0,0.2,*1/1
20133412,20190101-5,3.0,3.0,6,CP,5,TCL,50.5,0,0,,0,33517,14891,33711,2103,,120000.0,,0,5,0,0.0,0,0.0,0,0.0,0,0.0,8.7, 9/5
20110753,20190101-5,4.0,4.0,11,CP,5,BL,51.0,0,0,,0,33984,72713,29623,270,,120000.0,,0,2,0,0.0,0,0.0,0,0.0,0,0.0,9.2,24/1
20081813,20190101-5,5.0,5.0,3,CP,5,T&L,54.5,0,0,,0,31827,33593,15222,132,,120000.0,,0,3,0,0.0,0,0.0,0,0.0,0,0.0,9.3,23/1
20122119,20190101-5,6.0,6.0,10,CP,5,TLV,54.0,0,0,,0,5274,3746,134403,1078,,120000.0,,0,5,0,0.0,0,0.0,0,0.0,0,0.0,11.8,11/1
20113158,20190101-5,7.0,7.0,4,CP,5,V,51.0,0,0,,0,33747,72666,29952,644,,120000.0,,0,1,0,0.0,0,0.0,0,0.0,0,0.0,12.1,99/1
20101530,20190101-5,8.0,8.0,5,CP,5,L,50.0,0,0,,0,32905,3241,133653,1970,,120000.0,,0,7,0,0.0,0,0.0,0,0.0,0,0.0,14.6,16/1
20111301,20190101-5,9.0,9.0,2,CP,5,&CL,52.0,0,0,,0,17312,17152,17152,2239,,120000.0,,0,8,0,0.0,0,0.0,0,0.0,0,0.0,21.6,37/1
20143298,20190101-6,1.0,1.0,7,CP,6,L,57.0,0,0,,0,33072,72722,134285,1111,13438.0,180000.0,72658.0,0,14,0,0.0,0,0.0,0,0.0,0,0.0,10.5,*3/5
20113178,20190101-6,2.0,2.0,5,CP,6,TL,52.5,0,0,,0,33598,2914,33219,67,13400.0,180000.0,15695.0,0,12,0,0.0,0,0.0,0,0.0,0,0.0,10.5, 2/1
20113103,20190101-6,3.0,3.0,1,CP,6,TLV,53.5,0,0,,0,5225,140,33273,548,,180000.0,,0,3,0,0.0,0,0.0,0,0.0,0,0.0,16.8, 7/1
20112742,20190101-6,4.0,4.0,12,CP,6,&L,51.5,0,0,,0,33145,1336,2544,33000,171.0,180000.0,14891.0,0,2,0,0.0,0,0.0,0,0.0,0,0.0,20.8, 5/2
20081893,20190101-6,5.0,5.0,2,CP,6,&CL,54.0,0,0,,0,3536,3310,33378,125,,180000.0,,0,6,0,0.0,0,0.0,0,0.0,0,0.0,26.3,33/1
20110748,20190101-6,6.0,6.0,9,CP,6,TLV,48.0,0,0,,0,33788,72683,33473,2097,,180000.0,,0,5,0,0.0,0,0.0,0,0.0,0,0.0,28.3,99/1
20090990,20190101-6,7.0,7.0,11,CP,6,L,51.5,0,0,,0,33984,16410,16410,750,,180000.0,,0,15,0,0.0,0,0.0,0,0.0,0,0.0,29.5,99/1
20110899,20190101-6,8.0,8.0,8,CP,6,T&L,52.0,0,0,,0,33517,2776,13228,1108,,180000.0,,0,9,0,0.0,0,0.0,0,0.0,0,0.0,35.0,37/1
20133654,20190101-6,9.0,9.0,10,CP,6,BT&L,54.0,0,0,,0,5290,15185,33333,867,,180000.0,,0,4,0,0.0,0,0.0,0,0.0,0,0.0,42.0,37/1
20122235,20190101-6,10.0,10.0,3,CP,6,IL,51.0,0,0,,0,33794,3241,134228,1970,3399.0,180000.0,526.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,56.0,99/1
20093062,20190101-6,11.0,11.0,6,CP,6,&,53.5,0,0,,0,5217,72669,30670,83,,180000.0,,0,6,0,0.0,0,0.0,0,0.0,0,0.0,155.0,99/1
20133098,20190101-6,99.0,99.0,4,CP,6,T&L,50.0,0,0,LAME,0,33645,3348,9738,415,,180000.0,,0,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0, 9/1
20142099,20190101-7,1.0,1.0,3,CP,7,BL,56.0,0,0,,0,32971,3310,23671,125,254.0,350000.0,3972.0,0,7,0,0.0,0,0.0,0,0.0,0,0.0,3.0, 2/1
20140651,20190101-7,2.0,2.0,7,CP,7,T&L,51.0,0,0,,0,33598,16883,16883,1965,,350000.0,,0,2,0,0.0,0,0.0,0,0.0,0,0.0,3.0,10/1
20141572,20190101-7,3.0,3.0,9,CP,7,L,52.0,0,0,,0,33657,3285,16994,461,,0.0,,0,5,0,0.0,0,0.0,0,0.0,0,0.0,3.0,*6/5
20142584,20190101-7,4.0,4.0,6,CP,7,&L,54.0,0,0,,0,2710,16410,16410,750,,0.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,4.0, 8/1
20101292,20190101-7,5.0,5.0,4,CP,7,BT&L,54.0,0,0,,0,5290,12004,33864,16800,1266.0,350000.0,1104.0,0,6,0,0.0,0,0.0,0,0.0,0,0.0,5.3, 5/1
20122573,20190101-7,6.0,6.0,5,CP,7,TL,51.0,0,0,,0,33357,72656,33585,15679,13438.0,350000.0,72658.0,0,9,0,0.0,0,0.0,0,0.0,0,0.0,9.8, 9/1
20133730,20190101-7,7.0,7.0,2,CP,7,L,54.5,0,0,,0,5273,3451,33849,583,,350000.0,,0,2,0,0.0,0,0.0,0,0.0,0,0.0,13.8, 3/1
20142286,20190101-7,8.0,8.0,8,CP,7,T&LH,52.0,0,0,,0,3348,15695,134376,2240,,350000.0,,0,5,0,0.0,0,0.0,0,0.0,0,0.0,13.8,27/1
20150280,20190101-7,9.0,9.0,1,CP,7,B&L,53.5,0,0,,0,5217,72656,133633,901,,350000.0,,0,0,0,0.0,0,0.0,0,0.0,0,0.0,14.0,99/1
20142175,20190101-8,1.0,1.0,2,CP,8,BL,54.0,0,0,,0,2710,3279,5764,1040,,0.0,,0,6,0,0.0,0,0.0,0,0.0,0,0.0,2.0, 5/1
