Id,HorseId,Placing1,Placing2,Placing3,AllWins,AllSeconds,AllThirds,AllFourths,AllUnplaced,AllStakes,CurrentWins,CurrentSeconds,CurrentThirds,CurrentFourths,CurrentUnplaced,CurrentStakes,CreatedAt
1,20161549,,,,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
2,20170317,8,5,,5,3,2,1,16,2298500.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
3,20170291,5,1,5,2,6,10,5,19,2401150.0,1,0,1,1,2,568350.0,2020-10-29 14:28:12
4,20160940,,,,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
5,20160980,,,,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
6,20170180,7,3,8,2,1,1,3,13,994350.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
7,20151707,1,2,3,6,2,4,4,33,3428150.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
8,20130613,8,4,2,2,4,1,8,41,1478850.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
9,20150588,7,,,1,0,0,5,48,568800.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
10,20143763,9,,7,0,0,0,0,8,0.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
11,20152360,3,5,1,3,6,13,12,54,3599450.0,1,0,1,0,2,481550.0,2020-10-29 14:28:12
12,20142877,6,6,,5,4,1,2,36,2746900.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
13,20171723,,7,6,2,4,3,4,11,1825550.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
14,20171703,5,3,2,7,2,7,3,18,4064655.0,0,0,0,0,1,21800.0,2020-10-29 14:28:12
15,20150846,,9,8,1,2,1,3,20,811500.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
16,20131014,9,8,,2,2,3,3,37,1431400.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
17,20150760,4,9,6,3,2,8,11,31,2538450.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
18,20150699,5,2,7,2,6,6,7,41,1992250.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
19,20171834,7,,9,4,4,4,3,34,2727460.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
20,20133285,,5,6,2,3,2,0,10,1224850.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
21,20150866,7,7,3,0,1,5,1,15,458700.0,0,0,0,0,2,0.0,2020-10-29 14:28:12
22,20150922,,8,6,1,1,2,1,16,673400.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
23,20172962,1,4,8,2,0,0,1,13,860550.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
24,20162257,4,1,4,1,6,5,1,24,1535150.0,2,0,0,2,0,915450.0,2020-10-29 14:28:12
25,20162242,4,1,1,9,6,5,6,21,5265820.0,1,0,0,1,0,495150.0,2020-10-29 14:28:12
26,20122346,3,5,6,11,6,12,10,47,6339450.0,0,0,1,0,1,68650.0,2020-10-29 14:28:12
27,20142504,5,5,6,6,4,4,9,37,3599290.0,0,0,0,0,3,58700.0,2020-10-29 14:28:12
28,20172942,2,,,2,1,0,0,11,1091950.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
29,20142433,2,3,5,2,7,14,7,43,2900350.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
30,20081813,3,5,2,9,15,18,17,64,5795300.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
31,20172366,9,8,7,1,0,1,0,29,510850.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
32,20172346,8,,8,3,1,3,7,24,2108150.0,0,0,0,0,3,0.0,2020-10-29 14:28:12
33,20162080,1,6,,1,0,1,0,4,572750.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
34,20172619,9,7,,3,2,4,1,34,1775320.0,0,0,0,0,4,0.0,2020-10-29 14:28:12
35,20081873,,1,5,9,6,6,11,51,4168950.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
36,20120882,2,4,1,10,9,5,4,38,4981650.0,0,0,0,0,0,0.0,2020-10-29 14:28:12
