Id,NewLocation,PreviousLocation,HorseId,Action,UserId,CreatedAt
1,Stable 1 - Stall 2,,20172159,Assigned,11,2020-08-28 06:44:22
2,Stable 1 - Stall 3,,20141976,Assigned,11,2020-08-28 06:44:50
3,Stable 1 - Stall 4,,20160879,Assigned,11,2020-08-28 06:47:07
4,Stable 1 - Stall 5,,20140888,Assigned,11,2020-08-28 06:47:23
5,Stable 1A - Stall 1,,20160602,Assigned,11,2020-08-28 06:48:03
6,Stable 1A - Stall 3,,20150255,Assigned,11,2020-08-28 06:48:19
7,Stable 1A - Stall 4,Stable 1A - Stall 3,20150255,Reassigned,11,2020-08-28 06:48:46
8,Stable 1A - Stall 2,Stable 1A - Stall 1,20160602,Reassigned,11,2020-08-28 06:48:56
9,Stable 1A - Stall 1,,20161407,Assigned,11,2020-08-28 06:49:04
10,Stable 1B - Stall 1,,20152239,Assigned,11,2020-08-28 06:49:57
11,Stable 1B - Stall 2,,20151045,Assigned,11,2020-08-28 06:50:09
12,Stable 1B - Stall 7,,20150371,Assigned,11,2020-08-28 06:50:28
13,Stable 1B - Stall 13,,20092196,Assigned,11,2020-08-28 06:50:51
14,Stable 2 - Stall 1,,20162171,Assigned,11,2020-08-28 06:53:14
15,Stable 2 - Stall 2,,20172306,Assigned,11,2020-08-28 06:53:25
16,Stable 2 - Stall 3,,20163012,Assigned,11,2020-08-28 06:53:35
17,Stable 2 - Stall 4,,20163214,Assigned,11,2020-08-28 06:53:44
18,Stable 2A - Stall 1,,20152411,Assigned,11,2020-08-28 06:54:21
19,Stable 2A - Stall 2,,20172386,Assigned,11,2020-08-28 06:54:30
20,Stable 2A - Stall 3,,20141274,Assigned,11,2020-08-28 06:54:42
21,Stable 3 - Stall 2,,20111730,Assigned,11,2020-08-28 07:00:31
22,Stable 3 - Stall 4,,20170786,Assigned,11,2020-08-28 07:00:45
23,Stable 3 - Stall 5,,20161301,Assigned,11,2020-08-28 07:00:59
24,Stable 3 - Stall 6,,20161225,Assigned,11,2020-08-28 07:01:12
25,Stable 3A - Stall 1,,20141547,Assigned,11,2020-08-28 07:01:50
26,Stable 3A - Stall 2,,20121849,Assigned,11,2020-08-28 07:02:01
27,Stable 3A - Stall 5,,20150593,Assigned,11,2020-08-28 07:02:15
28,Stable 3B - Stall 1,,20142317,Assigned,11,2020-08-28 07:09:18
29,Stable 3B - Stall 2,,20143314,Assigned,11,2020-08-28 07:09:29
30,Stable 3B - Stall 3,,20151141,Assigned,11,2020-08-28 07:09:37
31,Stable 3B - Stall 4,,20152951,Assigned,11,2020-08-28 07:09:45
32,Stable 3B - Stall 5,,20161518,Assigned,11,2020-08-28 07:09:56
33,Stable 3B - Stall 6,,20170968,Assigned,11,2020-08-28 07:10:07
34,Stable 3B - Stall 7,,20161285,Assigned,11,2020-08-28 07:10:16
35,Stable 3B - Stall 8,,20130739,Assigned,11,2020-08-28 07:10:24
36,Stable 3B - Stall 9,,20153089,Assigned,11,2020-08-28 07:10:36
37,Stable 3B - Stall 10,,20172442,Assigned,11,2020-08-28 07:10:55
38,Stable 3B - Stall 11,,20141310,Assigned,11,2020-08-28 07:11:20
39,Stable 4 - Stall 1,,20151156,Assigned,11,2020-08-28 07:12:04
40,Stable 4 - Stall 2,,20162999,Assigned,11,2020-08-28 07:12:14
41,Stable 4 - Stall 5,,20162060,Assigned,11,2020-08-28 07:12:31
42,Stable 4 - Stall 8,,20112424,Assigned,11,2020-08-28 07:12:48
43,Stable 5 - Stall 1,,20161134,Assigned,11,2020-08-28 07:15:04
44,Stable 5 - Stall 2,,20150119,Assigned,11,2020-08-28 07:15:18
45,Stable 5 - Stall 4,,20152406,Assigned,11,2020-08-28 07:15:26
46,Stable 5B - Stall 1,,20142973,Assigned,11,2020-08-28 07:16:15
47,Stable 5B - Stall 3,,20142428,Assigned,11,2020-08-28 07:16:24
48,Stable 6 - Stall 1,,20161967,Assigned,11,2020-08-28 07:36:03
49,Stable 6 - Stall 3,,20130931,Assigned,11,2020-08-28 07:36:15
50,Stable 6 - Stall 4,,20150851,Assigned,11,2020-08-28 07:36:26
51,Stable 6 - Stall 5,,20170428,Assigned,11,2020-08-28 07:36:37
52,Stable 6 - Stall 6,,20160162,Assigned,11,2020-08-28 07:36:53
53,Stable 6 - Stall 12,,20150508,Assigned,11,2020-08-28 07:38:19
54,Stable 6 - Stall 13,,20152744,Assigned,11,2020-08-28 07:38:44
55,Stable 6 - Stall 14,,20153221,Assigned,11,2020-08-28 07:39:01
56,Stable 6 - Stall 15,,20123898,Assigned,11,2020-08-28 07:39:18
57,Stable 6 - Stall 16,,20110435,Assigned,11,2020-08-28 07:39:53
58,Stable 7 - Stall 1,,20130613,Assigned,11,2020-08-28 07:43:22
59,Stable 7 - Stall 2,,20122306,Assigned,11,2020-08-28 07:43:35
60,Stable 7 - Stall 3,,20131958,Assigned,11,2020-08-28 07:43:46
61,Stable 7 - Stall 4,,20142877,Assigned,11,2020-08-28 07:44:01
62,Stable 7 - Stall 6,,20150588,Assigned,11,2020-08-28 07:44:36
63,Stable 7 - Stall 7,,20121410,Assigned,11,2020-08-28 07:44:58
64,Stable 7 - Stall 8,,20101292,Assigned,11,2020-08-28 07:45:07
65,Stable 7 - Stall 9,,20102471,Assigned,11,2020-08-28 07:45:21
66,Stable 7 - Stall 10,,20133896,Assigned,11,2020-08-28 07:45:35
67,Stable 7 - Stall 11,,20162484,Assigned,11,2020-08-28 07:45:48
68,Stable 7 - Stall 12,,20160460,Assigned,11,2020-08-28 07:46:01
69,Stable 7 - Stall 13,,20140106,Assigned,11,2020-08-28 07:46:16
70,Stable 7A - Stall 3,,20172775,Assigned,11,2020-08-28 07:46:40
71,Stable 7A - Stall 6,,20170099,Assigned,11,2020-08-28 07:47:01
72,Stable 7A - Stall 8,,20172811,Assigned,11,2020-08-28 07:53:08
73,Stable 7A - Stall 9,,20150295,Assigned,11,2020-08-28 07:53:23
74,Stable 7A - Stall 10,,20103372,Assigned,11,2020-08-28 07:53:37
75,Stable 7A - Stall 11,,20171001,Assigned,11,2020-08-28 07:53:49
76,Stable 7A - Stall 14,,20172760,Assigned,11,2020-08-28 07:54:04
77,Stable 1A - Stall 5,Stable 1A - Stall 2,20160602,Reassigned,11,2020-08-28 07:56:06
78,Stable 1A - Stall 7,Stable 1A - Stall 4,20150255,Reassigned,11,2020-08-28 07:56:19
79,Stable 8 - Stall 2,,20152451,Assigned,11,2020-08-28 07:59:26
80,Stable 8 - Stall 3,,20172533,Assigned,11,2020-08-28 07:59:40
81,Stable 8 - Stall 4,,20171394,Assigned,11,2020-08-28 08:00:01
82,Stable 8 - Stall 5,,20161750,Assigned,11,2020-08-28 08:00:13
83,Stable 8 - Stall 1,,20123489,Assigned,11,2020-08-28 08:00:59
84,Stable 8A - Stall 1,,20140035,Assigned,11,2020-08-28 08:01:33
