Id,Name,CountryBredId,ColorId,IsEnabled,CreatedAt
22327,HILLY'S VISION,,,1,2021-05-17 07:14:18
41386,NO IDENTITY,,,1,2021-05-17 07:14:18
81020,NINA DORADA,,,1,2021-05-17 07:14:18
100144,TURNONTHELIGHT,,,1,2021-05-17 07:14:18
104900,EXCESSIVE FORCE,,8.0,1,2021-05-17 07:14:18
111881,FURTHER AND BEYOND,,,1,2021-05-17 07:14:18
190020,KNOCKANEY BRIDGE,,1.0,1,2020-09-15 06:26:10
190040,SELENE,,1.0,1,2020-09-15 06:26:10
190060,MALVA,,1.0,1,2020-09-15 06:26:10
190106,LADY JUROR,,1.0,1,2020-09-15 06:26:10
190722,GREENSBORO,,1.0,1,2020-09-15 06:26:10
200027,MILFOIL,,,1,2020-09-15 06:26:28
200047,LET HER FLY,,1.0,1,2020-09-15 06:26:28
200067,TERESINA,,8.0,1,2020-09-15 06:26:28
200087,SWEETHEART,,8.0,1,2020-09-15 06:26:28
201135,MOONLIGHT BREW,,,1,2021-05-17 07:14:36
19210025,MUMTAZ MAHAL,,9.0,1,2020-09-15 06:26:10
19210045,REGAL ROMAN,,8.0,1,2020-09-15 06:26:10
19210065,APPLEBY,,8.0,1,2020-09-15 06:26:10
19220043,GLENMAKERIN,,1.0,1,2020-09-15 06:26:10
19220063,MOTHER GOOSE,,,1,2020-09-15 06:26:10
19230021,RUNEBB,,,1,2020-09-15 06:26:10
19230061,FRIARS CARSE,,8.0,1,2020-09-15 06:26:10
19230081,SWEET LAVENDER,,8.0,1,2020-09-15 06:26:10
19230107,TRAFFIC,,1.0,1,2020-09-15 06:26:10
19230127,SISTER STELLA,,8.0,1,2020-09-15 06:26:10
19240029,SARITA,,,1,2020-09-15 06:26:10
19250027,JEANNE D'ARC,,8.0,1,2020-09-15 06:26:10
19250047,BLESSINGS,,1.0,1,2020-09-15 06:26:10
19251622,STEPHANIE,,,1,2020-09-15 06:26:10
19260025,LA TROIENNE,,1.0,1,2020-09-15 06:26:10
19260045,ARIADNE,,,1,2020-09-15 06:26:10
19260065,SWEEP OUT,,1.0,1,2020-09-15 06:26:10
19260085,DUSTWHIRL (USA),,1.0,1,2020-09-15 06:26:10
19270023,SUNSTROKE,,8.0,1,2020-09-15 06:26:10
19270043,BELOVED,,,1,2020-09-15 06:26:10
19270063,ALCIBIADES(USA),,8.0,1,2020-09-15 06:26:10
19270109,PEACE,,9.0,1,2020-09-15 06:26:10
19280041,SELKA,,,1,2020-09-15 06:26:10
19280061,NOGARA,,1.0,1,2020-09-15 06:26:10
19280081,MAH MAHAL,,9.0,1,2020-09-15 06:26:10
19280107,LADY OF THE SNOWS,,1.0,1,2020-09-15 06:26:10
19280147,BABA KENNY,,,1,2020-09-15 06:26:10
19290029,TOLBOOTH,,8.0,1,2020-09-15 06:26:10
19290049,SEKHMET,,8.0,1,2020-09-15 06:26:10
19290069,BRUSHUP,,1.0,1,2020-09-15 06:26:10
19290089,BUCK BARN,,1.0,1,2020-09-15 06:26:10
19300026,LAVENDULA (FR),,,1,2020-09-15 06:26:10
19300046,SISTER SARAH,,,1,2020-09-15 06:26:10
19300066,BLACK QUEEN,,,1,2020-09-15 06:26:10
19300086,QUICKLY,,,1,2020-09-15 06:26:10
19300102,LA CHICA,,9.0,1,2020-09-15 06:26:10
19310024,FAIRY SLIPPER,,8.0,1,2020-09-15 06:26:10
19310044,CUPDENE,,,1,2020-09-15 06:26:10
19310064,DALMARY,,,1,2020-09-15 06:26:10
19320022,MUMTAZ BEGAM,,1.0,1,2020-09-15 06:26:10
19320042,BLOODROOT,,1.0,1,2020-09-15 06:26:10
19320062,BANISH FEAR,,,1,2020-09-15 06:26:10
19320082,MYRTLEWOOD,,1.0,1,2020-09-15 06:26:10
19328720,FOR WHY,,,1,2020-09-15 06:26:10
19330040,MARY TERRY,,1.0,1,2020-09-15 06:26:10
19330060,COSQUILLA,,1.0,1,2020-09-15 06:26:10
19330080,KONG,,9.0,1,2020-09-15 06:26:10
19330106,TWO BOB,,8.0,1,2020-09-15 06:26:10
19330126,ART PAPER,,,1,2020-09-15 06:26:10
19330146,LIZ F.,,8.0,1,2020-09-15 06:26:10
19340028,LITTLE KATIE,,,1,2020-09-15 06:26:10
19340048,RUSTOM MAHAL,,,1,2020-09-15 06:26:10
19340053,GOOD SELKA,,,1,2020-09-15 06:26:10
19340068,CINQUEPACE,,1.0,1,2020-09-15 06:26:10
19340088,LADY GLORY,,,1,2020-09-15 06:26:10
19340104,PERLETTE,,,1,2020-09-15 06:26:10
19350026,MIYAKO,,9.0,1,2020-09-15 06:26:10
19350046,WILD VIOLET,,1.0,1,2020-09-15 06:26:10
19350066,BRANSOME,,9.0,1,2020-09-15 06:26:10
19360004,LA CLOCHE,,,1,2020-09-15 06:26:10
19360024,WAR SWEPT,,,1,2020-09-15 06:26:10
19360044,OUTDONE,,1.0,1,2020-09-15 06:26:10
19360064,BLACK POLLY,,1.0,1,2020-09-15 06:26:10
19370022,STEPPING DAY,,8.0,1,2020-09-15 06:26:10
19370042,THORN APPLE,,8.0,1,2020-09-15 06:26:10
19370062,SUN PRINCESS,,1.0,1,2020-09-15 06:26:10
19370082,ARBITRATOR,,1.0,1,2020-09-15 06:26:10
19370108,SNOWBERRY,,1.0,1,2020-09-15 06:26:10
19370128,ALPOISE,,1.0,1,2020-09-15 06:26:10
19370148,BOOLA BROOK,,1.0,1,2020-09-15 06:26:10
19370168,COLOSSEUM,,8.0,1,2020-09-15 06:26:10
19370188,QUICK ARROW,,,1,2020-09-15 06:26:10
19370204,JACQUELINE,,1.0,1,2020-09-15 06:26:10
19370224,HELEN GLEASON,,8.0,1,2020-09-15 06:26:10
19370244,WISE ALLY,,,1,2020-09-15 06:26:10
19380020,PRECOCITY,,,1,2020-09-15 06:26:10
19380040,BUCREYE,,,1,2020-09-15 06:26:10
19380060,REVENGEFUL,,,1,2020-09-15 06:26:10
19380080,VOLUPTAS,,,1,2020-09-15 06:26:10
19380106,TRAFFIC COURT,,,1,2020-09-15 06:26:10
19380126,IMPERATRICE,,,1,2020-09-15 06:26:10
19380166,BLINKING OWL,,,1,2020-09-15 06:26:10
19380186,COMMOTION,,1.0,1,2020-09-15 06:26:10
19380222,BIG EVENT,,1.0,1,2020-09-15 06:26:10
19380242,UP THE HILL,,1.0,1,2020-09-15 06:26:10
19380444,HYDROPLANE II,,,1,2020-09-15 06:26:10
19390028,JEANNE'S POISE,,8.0,1,2020-09-15 06:26:10
19390048,MAJIDEH,,,1,2020-09-15 06:26:10
19390068,HOT GANETA,,,1,2020-09-15 06:26:10
19390088,BELLAGAMBA,,,1,2020-09-15 06:26:10
19390124,FICKLE,,8.0,1,2020-09-15 06:26:10
19390144,CORALIE,,1.0,1,2020-09-15 06:26:10
19390164,MISSMAHOOT,,,1,2020-09-15 06:26:10
19390184,BUSINESSLIKE,,,1,2020-09-15 06:26:10
19390200,NATIVE GAL,,1.0,1,2020-09-15 06:26:10
19390220,MISS DOGWOOD,,,1,2020-09-15 06:26:10
19400025,DUCHESS ANITA,,,1,2020-09-15 06:26:10
19400045,FLICKA,,,1,2020-09-15 06:26:10
19400065,CAPPELLINA,,,1,2020-09-15 06:26:10
19400085,BASHFUL,,9.0,1,2020-09-15 06:26:10
19400101,SOURCE SUCREE,,,1,2020-09-15 06:26:10
