Id,Name,CountryBredId,ColorId,IsEnabled,CreatedAt
23915,FURTHER AND BEYOND,,,1,2021-05-17 07:13:49
43613,ADORE THE GOLD,,1.0,1,2021-05-17 07:13:49
43673,HILLY'S VISION,,,1,2021-05-17 07:13:49
64090,TURNONTHELIGHT,,,1,2021-05-17 07:13:49
104137,NO IDENTITY,,,1,2021-05-17 07:13:49
190035,BLANFORD,,,1,2020-09-15 06:25:42
200032,WAYGOOD,,1.0,1,2020-09-15 06:25:50
200052,PHAROS,,1.0,1,2020-09-15 06:25:50
200072,SIR GALLAHAD,,1.0,1,2020-09-15 06:25:50
200092,PAPYRUS (GB),,,1,2020-09-15 06:25:50
974391,EXCESSIVE FORCE,,,1,2021-05-17 07:13:49
19210030,APPREHENSION,,,1,2020-09-15 06:25:42
19210050,BRACADALE,,8.0,1,2020-09-15 06:25:42
19211011,WISE COUNSELLOR,,8.0,1,2020-09-15 06:25:42
19220023,AMERICAN FLAG,,8.0,1,2020-09-15 06:25:42
19220083,SOLARIO,,1.0,1,2020-09-15 06:25:42
19220109,SUPREMUS,,1.0,1,2020-09-15 06:25:42
19230036,DISPLAY,,1.0,1,2020-09-15 06:25:42
19230056,POMPAY,,1.0,1,2020-09-15 06:25:42
19230076,RIALTO,,8.0,1,2020-09-15 06:25:42
19240034,TERRY,,,1,2020-09-15 06:25:42
19240054,SICKLE,,,1,2020-09-15 06:25:42
19240074,CHANCE SHOT,,1.0,1,2020-09-15 06:25:42
19250032,SCATTER,,8.0,1,2020-09-15 06:25:42
19250052,PHARAMOND,,,1,2020-09-15 06:25:42
19250072,FELSTEAD,,1.0,1,2020-09-15 06:25:42
19250092,FAIRWAY (GB),,,1,2020-09-15 06:25:42
19250118,REIGH COUNT,,8.0,1,2020-09-15 06:25:42
19260030,BLUE LARKSPUR,,1.0,1,2020-09-15 06:25:42
19270038,BLENHIM,,,1,2020-09-15 06:25:42
19270058,BLENHEIM,,,1,2020-09-15 06:25:42
19270078,BULL DOG,,,1,2020-09-15 06:25:42
19270098,CARUSO,,1.0,1,2020-09-15 06:25:42
19280036,HALCYON,,1.0,1,2020-09-15 06:25:42
19280076,PRINCE ROSE,,1.0,1,2020-09-15 06:25:42
19280112,TOURBILLON,,1.0,1,2020-09-15 06:25:42
19280812,BECCAQUIMEC,,,1,2020-09-15 06:25:42
19290034,GOLD BRIDGE,,8.0,1,2020-09-15 06:25:42
19300031,HYPERION,,8.0,1,2020-09-15 06:25:42
19302959,SHAMSUDDIN,,,1,2020-09-15 06:25:42
19310039,SUNBASKER,,,1,2020-09-15 06:25:42
19310059,UMIDWAR,,1.0,1,2020-09-15 06:25:42
19310079,DISCOVERY,,8.0,1,2020-09-15 06:25:42
19310099,ADMIRAL DRAKE,,,1,2020-09-15 06:25:42
19310115,PEACE CHANCE,,1.0,1,2020-09-15 06:25:42
19320037,ROSEMONT,,1.0,1,2020-09-15 06:25:42
19320057,FAIR TRIAL (GB),,8.0,1,2020-09-15 06:25:42
19323018,ROCK STONE,,,1,2020-09-15 06:25:42
19330015,PICASSO,,,1,2020-09-15 06:25:42
19330035,MAHMOUD,,9.0,1,2020-09-15 06:25:42
19330055,PRECIPITATION,,8.0,1,2020-09-15 06:25:42
19330075,MIEUXE,,1.0,1,2020-09-15 06:25:42
19340033,PETROSE,,,1,2020-09-15 06:25:42
19340073,CASE ACE,,1.0,1,2020-09-15 06:25:42
19340093,WAR ADMIRAL,,,1,2020-09-15 06:25:42
19343014,REAPING REWARD,,,1,2020-09-15 06:25:43
19350011,NEARCO,,,1,2020-09-15 06:25:43
19350031,MENOW,,8.0,1,2020-09-15 06:25:43
19350051,UNBREAKABLE,,,1,2020-09-15 06:25:43
19350071,FIGHTING FOX,,1.0,1,2020-09-15 06:25:43
19350150,SWEEPING TIDE,,,1,2020-09-15 06:25:43
19350399,BULL LEA,,,1,2020-09-15 06:25:43
19360039,HIS HIGHNESS,,8.0,1,2020-09-15 06:25:43
19360059,HELIOPOLIS,,,1,2020-09-15 06:25:43
19360079,JOHNSTOWN,,1.0,1,2020-09-15 06:25:43
19363010,HELIOSCOPE,,,1,2020-09-15 06:25:43
19370037,BON AMIS,,,1,2020-09-15 06:25:43
19370057,ROMAN,,,1,2020-09-15 06:25:43
19370077,WILD CHICLE,,,1,2020-09-15 06:25:43
19370097,DENTURIUS,,8.0,1,2020-09-15 06:25:43
19370113,BONAMIS,,1.0,1,2020-09-15 06:25:43
19373018,BIMELECH,,1.0,1,2020-09-15 06:25:43
19373038,STARDUST,,8.0,1,2020-09-15 06:25:43
19380035,APOLLO,,,1,2020-09-15 06:25:43
19380054,AVENGER,,1.0,1,2020-09-15 06:25:43
19380055,C.P.J,,,1,2020-09-15 06:25:43
19380075,OWEN TUDOR,,,1,2020-09-15 06:25:43
19380095,THE RHYMER,,,1,2020-09-15 06:25:43
19380111,ORTHODOX,,8.0,1,2020-09-15 06:25:43
19380131,ALIBHAI,,,1,2020-09-15 06:25:43
19380151,WAR RELIC,,8.0,1,2020-09-15 06:25:43
19380171,ATTENTION,,1.0,1,2020-09-15 06:25:43
19390033,DEVIL DIVER,,,1,2020-09-15 06:25:43
19390053,ARCO,,8.0,1,2020-09-15 06:25:43
19390073,REQUESTED,,8.0,1,2020-09-15 06:25:43
19390093,SHUT OUT,,8.0,1,2020-09-15 06:25:43
19390119,ALSAB,,1.0,1,2020-09-15 06:25:43
19391318,SUN KING,,,1,2022-10-15 16:55:25
19393014,BERNBOROUGH,,1.0,1,2020-09-15 06:25:43
19400010,HASTEVILLE,,,1,2020-09-15 06:25:43
19400030,WHIRLAWAY,,1.0,1,2020-09-15 06:25:43
19400050,PRINCE QUILLO,,,1,2020-09-15 06:25:43
19400070,KIOWA CHIEF,,,1,2020-09-15 06:25:43
19400136,ESPADIN,,1.0,1,2020-09-15 06:25:43
19400176,ALQUEST,,,1,2020-09-15 06:25:43
19400196,PRINCEQUILLO,,1.0,1,2020-09-15 06:25:43
19400212,COUNT FLEET,,,1,2020-09-15 06:25:43
19400232,WILD RISK,,1.0,1,2020-09-15 06:25:43
19400252,ADVOCATE (GB),,8.0,1,2020-09-15 06:25:43
19400414,NASRULLAH,,1.0,1,2020-09-15 06:25:43
